game_link,name,price,developer,genres,features,publisher,date release,initial release on platform ,recommended_os,cpu,memory,gpu,available achievements,available xp,Critics Recommend,Top Critic Average,OpenCritic Rating
Among the Sleep - Enhanced Edition₹399,Among the Sleep - Enhanced Edition,₹399,Krillbite Studio AS,HorrorAdventureIndie,Controller Support,Krillbite Studio AS,10/21/21,Initial Release11/02/17,Windows 7 or higher,Quadcore 2.5GHz,4096 MB,2 GB,,,null,null,null
Wargame: Red Dragon₹709,Wargame: Red Dragon,₹709,Eugen Systems,SimulationStrategy,Co-opMultiplayerSingle Player,Eugen Systems,03/04/21,Initial Release04/17/14,Windows 7,AMD/INTEL DUAL-CORE 3GHZ,4096 MB,9,null,null,null,null,null
For The King₹521,For The King,₹521,IronOak Games,Turn-BasedAdventure,Co-op,Curve Digital,04/23/20,WindowsWindows,Windows 7/8/8.1/10 x64,Intel Core i5-4570T (2* 2900) / AMD FX-6100 (6 * 3300) or equivalent,4096 MB RAM,GeForce GTX 750 Ti (2048 MB) / Radeon HD 7850 (2048 MB),,,59%,75,Strong
Hue₹349,Hue,₹349,Fiddle Sticks,PuzzleAdventureer,Single Player,Curve Digital,07/02/20,Initial Release08/28/16,Windows XP SP3/Vista with SP2/7/8/8.1/10 x86 or x64,Intel Core 2 Duo E7300 (2 * 2660) or equivalent | AMD Athlon 64 X2 6000+ (2 * 3000) or equivalent,4096MB,400MB,,,79%,79,Strong
Hamsterdam₹119,Hamsterdam,₹119,Muse Games,ActionFightingIndie,Single Player,Muse Games,09/09/21,Initial Release07/31/19,Windows 7 or higher,Intel Core 2 Duo E6600 or better,4G,null,,,null,null,null
Teamfight TacticsFree,Teamfight Tactics,Free,Riot Games,Strategy,MultiplayerCompetitiveSingle Player,Riot Games,11/04/21,Initial Release06/27/19,Win 10,Intel: Core i5-3300  AMD: Ryzen 3 1200  ARM: not supported,4GB,16GB HDD,,,null,null,null
The Wolf Among Us₹446,The Wolf Among Us,₹446,"LCG Entertainment, Inc.",ActionAdventure,Single Player,Telltale,12/01/19,WindowsWindows,Windows 10 64 bit service pack 1,Core 2 Duo 2.3 Ghz or equivalent,4GB,ATI or NVidia card w/ 1024 MB RAM,,,80%,80,Strong
As Far As The Eye-60%₹595₹238,As Far As The Eye,₹238,Unexpected Studio,Turn-BasedSimulationStrategy,null,Goblinz Studio,09/10/20,WindowsWindows,10,AMD Athlon Dual Core 4450e,4GB,3GB,,,null,null,null
"Yes, Your Grace-45%₹529₹290.95","Yes, Your Grace",₹290.95,Brave At Night,RPG,Single Player,No More Robots,03/26/21,WindowsWindows,Windows 10,High-range Intel Core i5,4GB,3GB,,,58%,74,Fair
Ashwalkers-35%₹279₹181.35,Ashwalkers,₹181.35,Nameless XIII,IndieSurvivalAdventure,Single Player,Dear Villagers,04/15/21,WindowsWindows,Windows 8+,Intel Core i5-2400 @ 3.1 GHz or AMD FX-6300 @ 3.5 GHz or equivalent,4GB,10,,,31%,64,Weak
League of LegendsFree,League of Legends,Free,Riot Games,ActionRPGStrategy,Co-opMultiplayerCompetitiveSingle Player,Riot Games,11/04/21,Initial Release10/27/09,Win 10,Intel: Core i5-3300 AMD: Ryzen 3 1200 ARM: not supported,4GB,16GB SSD,,,null,null,null
"RollerCoaster Tycoon Adventures₹1,341",RollerCoaster Tycoon Adventures,"₹1,341",Nvizzio Creations,CasualSimulation,Single Player,Atari,11/29/18,WindowsWindows,Windows 10,Intel® Core™ i5 3GHz,4GB,Ge Force GTX 760,null,null,21%,54,Weak
Dread Nautical₹595,Dread Nautical,₹595,Zen Studios,ActionIndie,null,Zen Studios,04/29/20,WindowsWindows,Win10,Intel Core i7-3770/AMD FX-8350 or better,4GB,null,,,36%,66,Fair
Black Widow: Recharged₹239,Black Widow: Recharged,₹239,"AdamVision, SneakyBox",ActionShooter,Controller Support,Atari,10/28/21,WindowsWindows,Windows 7,Dual Core +,4GB,400 MB available space,,,null,null,null
Going Under₹521,Going Under,₹521,Aggro Crab Games,IndieDungeon Crawler,Single Player,Team17 Digital Ltd,09/29/20,WindowsWindows,Windows 10 64-bit,Intel Core i5-3470 | AMD FX-6300,4GB,4GB,,,81%,81,Strong
Centipede: Recharged₹239,Centipede: Recharged,₹239,"AdamVision, SneakyBox",ActionShooter,Co-opSingle Player,Atari,09/29/21,WindowsWindows,Windows 7,Dual Core +,4GB,400 MB available space,,,null,null,null
Dreamscaper₹589,Dreamscaper,₹589,Afterburner,ActionRogue-LiteAdventure,Single PlayerController Support,Freedom Games,08/05/21,Initial Release08/13/20,Windows 10 64-bit,Intel Core i5,4GB,6GB,,,91%,85,Mighty
Sheepo₹239,SHEEPO,₹239,Kyle Thompson,erExplorationIndie,Single Player,"Top Hat Studios, Inc.",10/27/21,WindowsWindows,Windows 10,Intel Core i5-4690K,4GB,Nvidia Geforce 800 series,,,null,null,null
