game_link,name,price,developer,genres,features,publisher,date release,initial release on platform ,recommended_os,cpu,memory,gpu,available achievements,available xp,Critics Recommend,Top Critic Average,OpenCritic Rating
The Signifier: Director's Cut₹469,The Signifier: Director's Cut,₹469,Playmestudio,AdventureIndie,Single Player,Raw Fury,04/22/21,WindowsWindowsMac OSMac OS,Windows 10,Intel Core i5-7600K / AMD Ryzen 5 1600X,8 GB,20 GB,,,29%,69,Fair
"A Total War Saga: TROY₹2,249",A Total War Saga: TROY,"₹2,249",CREATIVE ASSEMBLY,Strategy,MultiplayerSingle Player,SEGA,08/13/20,Initial Release10/08/20,Windows 7/8.1/10 64 Bit,Intel i5-6600 / Ryzen 5 2600X,8 GB,A Total War Saga: TROY - AMAZONS,,,68%,76,Strong
Kosmokrats₹349,Kosmokrats,₹349,Pixel Delusion,PuzzleAdventureIndie,Single Player,Modern Wolf,12/18/20,Initial Release11/05/20,Windows 10,AMD Ryzen 3 1200,8 GB,null,,,55%,73,Fair
Sockventure₹589,Sockventure,₹589,Nighthouse Games,ActionIndieAction-AdventureAdventure,Single Player,Versus Evil,05/11/21,WindowsWindows,Windows 10,Intel Core i5 or equivalent,8 GB,DirectX 11,,,null,null,null
Backbone₹589,Backbone,₹589,EggNut,AdventureIndie,Single Player,Raw Fury,06/08/21,WindowsWindows,Windows 7,Multi-core 2.5GHz or faster,8 GB,1 GB,,,null,null,null
R-Type Final 2₹899,R-Type Final 2,₹899,Granzella Inc.,Shooter,Single Player,"NIS America, Inc.",04/30/21,WindowsWindows,Windows 7 64bit or later,Quad core AMD or Intel processor @ 2.8 GHz or faster,8 GB,10 GB,null,null,null,null,null
Paper Beast-55%₹409₹184.05,Paper Beast,₹184.05,Pixel Reef,IndieSimulationAdventure,Single Player,Plug In Digital,10/20/20,WindowsWindows,Windows 10,Intel Core i7-6600,8 Gb,6Gb,,,83%,80,Strong
Through the Woods₹565,Through the Woods,₹565,Antagonist,AdventureExplorationHorror,Single Player,1C Entertainment,10/28/21,Initial Release10/27/16,Windows 7 / 8 / 8.1 / 10,"Intel Core i5 or equivalent CPU rated at 3,5 GHz",8 GB,GeForce GTX 980 or equivalent,,,47%,68,Fair
"Cris Tales₹1,599",Cris Tales,"₹1,599","Dreams Uncorporated, SYCK",RPGTurn-BasedIndie,Single Player,Modus Games,07/20/21,WindowsWindows,OS Version: windows 10,Intel Core at 2.7Ghz or AMD equivalent,8 GB,6 GB,,,47%,74,Fair
Viscerafest₹489,Viscerafest,₹489,"Acid Man Games, Fire Plant Games",ActionShooter,Single Player,1C Entertainment,05/20/21,WindowsWindows,Windows 7 or later,Intel Pentium i5-4440,8 GB,2 GB,null,null,null,null,null
"Override 2: Super Mech League₹1,199",Override 2: Super Mech League,"₹1,199",Modus Studios Brazil,Fighting,MultiplayerCompetitive,Modus Games,10/05/21,Initial Release12/22/20,Windows 7/8.1/10 (64-bit Required),Intel Core i5-760 2.8 GHz / AMD Athlon X4 740 3.2 GHz,8 GB,8 GB,null,null,17%,60,Weak
"Remnant: From the Ashes₹1,564",Remnant: From the Ashes,"₹1,564",Gunfire Games,ActionShooter,Co-op,Perfect World Entertainment Inc.,08/13/20,WindowsWindows,Windows 7 / 8 / 10 64 bit,Intel Core i5-4590 (3.70 GHz) or better,8 GB,Nvidia GeForce GTX 970,,,74%,78,Strong
Breathedge₹569,Breathedge,₹569,RedRuins Softworks,ActionSurvival,Controller SupportSingle Player,HypeTrain Digital,02/25/21,WindowsWindows,"7, 8, 10 (x64)",Intel core i5 (4th generation),8 GB,7 GB,,,48%,69,Fair
Rogue Lords₹899,Rogue Lords,₹899,Leikir Studio,Rogue-LiteIndie,null,Nacon,09/30/21,WindowsWindows,Windows 10,Intel Core i5-3470 | AMD FX-3850,8 GB,Privacy Policy,,,null,null,null
RimWorld₹819,RimWorld,₹819,Ludeon Studios,SimulationCity BuilderStrategy,Single Player,Ludeon Studios,06/09/20,WindowsWindowsMac OSMac OS,Windows 10,Intel Core i7 2600k,8 GB,null,,,null,null,null
Rogue Legacy 2₹589,Rogue Legacy 2,₹589,Cellar Door Games,IndieRogue-Lite,Controller SupportSingle Player,Cellar Door Games,08/18/20,WindowsWindows,Windows 10,3.0 Ghz,8 GB,5 GB available space,null,null,null,null,null
Battle Chasers: Nightwar₹999,Battle Chasers: Nightwar,₹999,Airship Syndicate,ActionIndieRPG,Single Player,THQ Nordic,03/25/21,Initial Release10/03/17,Windows 7 / 8 / 10 64 bit,Intel i5 2.5 GHZ,8 GB,null,,,75%,80,Strong
The Flower Collectors₹469,The Flower Collectors,₹469,Mi'pu'mi Games,AdventureFirst PersonIndie,Single Player,Mi'pu'mi Games,12/18/20,WindowsWindows,64-bit processor and operating system: Windows 10,"Intel Core i5 2.67GHz or AMD A6-3670K 2,7 GH",8 GB,1 GB,,,null,null,null
"Aquanox Deep Descent₹1,139",Aquanox Deep Descent,"₹1,139",Digital Arrow,ActionAction-AdventureAdventure,Co-opMultiplayerSingle Player,THQ Nordic,10/20/20,WindowsWindows,Windows 10,AMD/INTEL 3.5 GHz (AMD Ryzen 5 1500x or Intel Core i5-6600K or newer),8 GB,30 GB,,,26%,68,Fair
The Hand of Merlin₹939,The Hand of Merlin,₹939,Room-C Games,IndieRPGRogue-LiteStrategy,null,Versus Evil,05/11/21,WindowsWindows,Windows 10 Creators Update (64 bit),3.0 GHz Dual Core,8 GB,DirectX 12,,,null,null,null
Undying₹529,Undying,₹529,Vanimals,HorrorAdventure,Single Player,Skystone Games Inc.,10/19/21,WindowsWindows,"Windows 7 SP1, Windows 8.1 or Windows 10","Intel® i5-4590, AMD FX 8350 equivalent or better",8 GB,NVIDIA GeForce® GTX 960 equivalent or better,null,null,null,null,null
The Big Con₹459,The Big Con,₹459,Mighty Yell,ActionComedyAdventureIndie,Single Player,Skybound Games,08/31/21,WindowsWindows,Windows 10 64-bit,Intel Core i7-3770K or AMD Ryzen 3 1200,8 GB,4 GB,,,72%,74,Fair
Mothergunship₹939,Mothergunship,₹939,Terrible Posture Games,ActionShooter,Co-opMultiplayerSingle Player,Versus Evil,07/29/21,Initial Release07/17/18,Windows 10 64-bit,Intel Core i5-6600K / AMD Ryzen 5 1600,8 GB,DirectX 11,,,54%,75,Strong
Doomsday Vault₹399,Doomsday Vault,₹399,Flightless,AdventurePuzzle,Single PlayerController Support,Flightless,08/05/21,WindowsWindowsMac OSMac OS,Windows 10 64bit,Intel i5 / AMD Ryzen 3.0 GHz+,8 GB,Nvidia Geforce GTX 970 / AMD Radeon RX 590,,,null,null,null
CRSED: F.O.A.D.Free,CRSED: F.O.A.D.,Free,Darkflow Software,Action,Co-opMultiplayerCompetitive,Gaijin Entertainment,12/03/20,WindowsWindows,Windows 7 / 8 / 10 64bit,Intel Core i5 or better,8 Gb,6 Gb,null,null,null,null,null
Amnesia: Rebirth-100%₹707Free,Amnesia: Rebirth,Free,Frictional Games,HorrorStealthAdventure,Single Player,Frictional Games,10/20/20,Initial Release10/20/20,"Windows 7 / 8 / 10, 64-bits",Core i5 / Ryzen 5,8 gb,"OpenGL 4.3, Nvidia GTX 680 / AMD Radeon RX 580 / Intel Xe-HPG",,,null,null,null
HammerHelm₹459,HammerHelm,₹459,SuperSixStudios,ActionCity BuilderAdventure,Single PlayerController Support,SOEDESCO,10/21/21,Initial Release04/29/21,Windows 7,Intel Core i7-4700MQ (3.20GHz),8 GB,2 GB available space,,,null,null,null
Star Renegades₹589,Star Renegades,₹589,"Massive Damage, Inc",RPGStrategyIndie,Single PlayerController Support,Raw Fury,03/04/21,WindowsWindows,Windows® 10 64-bit,Intel® Core™ i5-6600K @ 3.5GHz / AMD Ryzen™ 3 2200G @ 3.5GHz,8 GB,5 GB,,,74%,77,Strong
Poly Bridge 2₹372,Poly Bridge 2,₹372,Dry Cactus,Puzzle,null,Dry Cactus,05/28/20,WindowsWindowsMac OSMac OS,Windows 10,2 GHz,8 GB,2 GB,,,57%,71,Fair
Fisti-Fluffs₹469,Fisti-Fluffs,₹469,Playfellow Studio,CasualPartyIndie,Co-opMultiplayerSingle PlayerController Support,"Rogue Games, Inc.",09/23/21,WindowsWindows,Windows 10,Intel Core i5,8 GB,3 GB,,,null,null,null
SpellForce 3: Fallen God₹809,SpellForce 3: Fallen God,₹809,Grimlore Games,RPGStrategy,Single Player,THQ Nordic,12/14/20,WindowsWindows,"Windows 7, 8, Windows 10 (64 bit)","Intel Core i7-4790, AMD FX-8350",8 GB,30 GB,,,null,null,null
Unexplored 2: The Wayfarer's Legacy₹589,Unexplored 2: The Wayfarer's Legacy,₹589,Ludomotion,RPGRogue-LiteAdventure,Single Player,Big Sugar,05/20/21,WindowsWindows,Windows 10,i5 or higher for 60fps@1080p,8 GB,GTX 1070 or higher for 60fps@1080p,null,null,null,null,null
Tandem: A Tale of Shadows₹589,Tandem: a Tale of Shadows,₹589,Monochrome Paris,erPuzzleAction-Adventure,Single Player,Hatinh Interactive,10/21/21,WindowsWindows,Win 10 64-bit,Intel Core i5-8600K or AMD Ryzen 3 3100,8 GB,Nvidia GeForce GTX 1660 Ti or AMD Radeon RX 5600 XT,,,null,null,null
"RiMS Racing₹1,299",RiMS Racing,"₹1,299",Raceward Studio,SimulationRacing,MultiplayerSingle Player,Nacon,11/04/21,Initial Release08/19/21,Windows 10,Intel Core i7-4790 or AMD Ryzen 5 1500X,8 GB,Privacy Policy,null,null,null,null,null
"Mafia II: Definitive Edition₹1,699",Mafia II: Definitive Edition,"₹1,699",d3t,ActionShooter,Single Player,2K,09/25/20,WindowsWindows,Windows 8.1 64-bit,Intel CPU: I7-3770 AMD CPU: AMD FX 8350 4.0 Ghz,8 GB,50 GB,,,28%,64,Weak
The Forgotten City-30%₹589₹412.30,The Forgotten City,₹412.30,Modern Storyteller,ActionIndiePuzzleRPGAdventure,null,Plug In Digital,07/28/21,WindowsWindows,Windows 10 (64-bit),8 Core 3.2 GHz or better,8 GB,SSD with 26 GB space,,,91%,84,Mighty
BraveFree,Brave,Free,"Brave Software, Inc.",null,null,"Brave Software, Inc.",04/22/21,Initial Release11/13/19,Windows 10,2 Ghz,8 GB,null,,,null,null,null
Unicorns on Unicycles₹309,Unicorns on Unicycles,₹309,Weyrdworks,IndieActionCasual,Single PlayerController Support,"Rogue Games, Inc.",10/20/21,Initial Release10/19/21,Windows 10,Intel Core i5,8 GB,"R9 280, GTX 960",,,null,null,null
Panzer Corps 2₹939,Panzer Corps 2,₹939,Flashback Games,Strategy,MultiplayerSingle Player,Slitherine Ltd.,04/27/21,Initial Release03/19/20,64-bit Windows 8/10 (the game runs on Windows 7 but no support will be provided),"Intel or AMD, Dual Core or better (Requires a 64-bit processor and operating system)",8 GB,12 GB,null,null,null,null,null
Expeditions: Viking₹729,Expeditions: Viking,₹729,Logic Artists,RPGStrategyIndie,null,THQ Nordic,10/13/21,Initial Release04/27/17,Windows 10,Intel Core i7 3.4GHz,8 GB,12 GB,,,48%,70,Fair
Black Skylands₹469,Black Skylands,₹469,Hungry Couch Games,ActionIndieAction-AdventureShooterAdventure,Controller Support,tinyBuild,07/09/21,WindowsWindows,Windows 10,2.4 GHz Quad Core,8 Gb,4 Gb,null,null,null,null,null
"Assassin's Creed® III: Remastered₹1,999",Assassin's Creed® III: Remastered,"₹1,999",Ubisoft,ActionRPG,Single PlayerController Support,Ubisoft,03/29/19,WindowsWindows,Windows 10,AMD Ryzen 5 1500X | Intel Core i7-4790,8 GB,Raedon RX Vega 56 | NVIDIA Geforce GTX 1070,,,36%,69,Fair
Solitairica₹239,Solitairica,₹239,Righteous Hammer Games,Rogue-LiteCard GameIndie,null,Righteous Hammer Games,12/29/20,WindowsWindows,Windows 10 - 64 bit,"Quad-core Intel or AMD processor, 2.5 GHz or faster",8 GB,1 GB,,,null,null,null
Creature in the Well₹459,Creature in the Well,₹459,Flight School Studio,ActionIndie,Single Player,MWM Interactive,03/25/21,Initial Release09/06/19,Windows 10 (64-bit),Intel Core i5,8 GB,10 GB available space,,,58%,76,Strong
Aeon Must Die!₹899,Aeon Must Die!,₹899,Limestone Games,ActionAdventureIndie,AchievementsSingle PlayerController Support,Focus Entertainment,10/28/21,WindowsWindows,Windows 10 (64-bit),AMD FX-8320 / Intel Core i5-4690K,8 GB,"2 GB VRAM, AMD Radeon R9 380 / NVIDIA GeForce GTX 1050 Ti",35 Achievements,1000 XP,null,null,null
Shady Part of Me₹599,Shady Part of Me,₹599,Douze Dixièmes,IndiePuzzle,Single Player,Focus Entertainment,12/11/20,WindowsWindows,Windows 10 (64-bit),AMD Athlon II X3 450 / Intel Core 2 Quad Q6600,8 GB,3 GB,,,79%,77,Strong
Blair Witch₹707,Blair Witch,₹707,Bloober Team,HorrorFirst Person,null,Bloober Team NA,10/29/20,WindowsWindows,Windows 10,Intel Core i5-6500 (3.2 GHz) / AMD Ryzen 5 1600,8 GB,16 GB available space,,,39%,68,Fair
The Fall Part 2: Unbound₹399,The Fall Part 2: Unbound,₹399,Over The Moon,ActionPuzzleAdventure,Single PlayerController Support,Over The Moon,03/15/21,Initial Release02/13/18,"Windows 7 SP1+, 8, 10",2.5 GHz dual core,8 GB,1.4 GB,,,47%,72,Fair
Cartel Tycoon₹589,Cartel Tycoon,₹589,Moon Moose,SimulationCity BuilderStrategy,Single Player,tinyBuild,03/18/21,WindowsWindows,Windows 10,i7 ~3 Ghz / Ryzen 7,8 GB,5 GB,,,null,null,null
Pathfinder: Kingmaker - Enhanced Plus Edition₹529,Pathfinder: Kingmaker - Enhanced Plus Edition,₹529,Owlcat Games,ActionRPG,Single Player,Deep Silver,05/14/21,WindowsWindowsMac OSMac OS,Windows 7 64-bit or newer,Intel Core i7 CPU 920 @ 2.67GHz,8 GB,30GB,null,null,65%,71,Fair
DEMON'S TILT₹529,DEMON'S TILT,₹529,WIZNWAR,ActionHorror,Single Player,FLARB LLC,05/10/21,Initial Release12/13/19,Windows 10,i7,8 GB,1 GB,,,null,null,null
The Uncertain: Last Quiet Day₹239,The Uncertain: Last Quiet Day,₹239,New Games Order,First PersonAdventure,Controller SupportSingle Player,META Publishing,04/29/21,Initial Release09/22/16,Windows 10,Intel i5 processor or higher / AMD Phenom II X6 or higher,8 GB,8 GB,,,null,null,null
Genesis Alpha One Deluxe Edition₹670,Genesis Alpha One,₹670,Radiation Blue,First Person,Controller SupportSingle Player,Team17 Digital Ltd,03/27/20,WindowsWindows,Windows 10 64-bit,Core i5-4590 CPU @ 3.30GHz / AMD FX 8350,8 GB,GeForce GTX 970 (4 GB) / Radeon R9 390,,,46%,70,Fair
Stubbs the Zombie in Rebel Without a Pulse₹469,Stubbs the Zombie in Rebel Without a Pulse,₹469,Aspyr,Action,Co-opSingle Player,Aspyr,10/14/21,Initial Release11/15/05,Windows 10,"Intel Core i3-4170 @ 3.7 GHz, AMD A8-7600 @ 3.1 GHz",8 GB,null,,,32%,57,Weak
Bridge Constructor: The Walking Dead₹349,Bridge Constructor: The Walking Dead,₹349,ClockStone Software,SimulationPuzzleStrategy,Single Player,Headup,11/19/20,WindowsWindowsMac OSMac OS,Windows 10,6 GHz,8 GB,null,,,null,null,null
Art of Rally₹589,Art of Rally,₹589,Funselektor Labs Inc.,Racing,AchievementsController Support,Funselektor Labs Inc.,09/23/20,WindowsWindowsMac OSMac OS,Windows 10,Intel Core i5 3.6 GHz or AMD equivalent,8 GB,3 GB,43 Achievements,1000 XP,89%,81,Strong
The Spectrum Retreat₹309,The Spectrum Retreat,₹309,Dan Smith,PuzzleStrategyAdventure,Controller SupportSingle Player,Ripstone,07/01/21,Initial Release07/10/18,AMD FX-8350 or Intel Core i5 or higher,8 GB RAM,8 GB available space,Version 11,,,37%,70,Fair
"Riders Republic₹2,999",Riders Republic,"₹2,999",Ubisoft Annecy,ActionOpen World,MultiplayerSingle Player,Ubisoft,10/28/21,WindowsWindows,Windows 10 (64-bit versions),Intel Core i7-4790 or AMD Ryzen 5 1600,8 GB dual channel,GeForce GTX 1060 (6 GB) or AMD RX 570 (8 GB),,,72%,78,Strong
"Tom Clancy's Ghost Recon Wildlands Standard Edition₹2,499",Tom Clancy's Ghost Recon Wildlands,"₹2,499",Ubisoft,ShooterOpen World,Controller SupportCo-opSingle Player,Ubisoft,04/10/18,WindowsWindows,"Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)",Intel Core i7- 3770@ 3.5 GHz or AMD FX-8350 @ 4 GHz or better,8 GB memory,50GB,,,41%,72,Fair
Timelie - Game of the Year Edition₹429,Timelie - Game of the Year Edition,₹429,Urnique Studio,PuzzleAdventureIndie,null,Urnique Studio,05/28/21,WindowsWindows,Windows 10 64-bit,Intel Core i5-6600 / AMD Ryzen 3,8 GB of RAM,2 GB,,,69%,78,Strong
"Twin Mirror₹1,059",Twin Mirror,"₹1,059",DONTNOD Entertainment,NarrationAdventure,null,DONTNOD Entertainment,12/01/20,WindowsWindows,Windows 10 64-bit,Intel Core i3 6100 or AMD Athlon X4 845,8 Gb of RAM,30 Gb of free space,null,null,null,null,null
The Tenants-25%₹469₹351.75,The Tenants,₹351.75,Ancient Forge Studio,SimulationCity Builder,AchievementsSingle Player,Frozen District,03/25/21,WindowsWindows,Windows 7 (64-bit) or newer,Intel Core i5-8400 / AMD Ryzen 5 1600,8 GB RAM,4 GB,null,null,null,null,null
Pine₹569,Pine,₹569,Twirlbound,ActionAction-AdventureOpen WorldAdventure,Single PlayerController Support,Kongregate,05/06/21,WindowsWindows,Windows 10 (64-bit),Quad Core 3.40 Ghz or equivalent,8 GB RAM,4 GB available space,,,null,null,null
Omen Of Sorrow₹595,Omen Of Sorrow,₹595,AOne Games,Fighting,Multiplayer,AOne Games,06/07/19,WindowsWindows,"WINDOWS® 7, 8, 8.1, 10 (64-bit)",Intel Core i5,8 GB RAM,NVIDIA GeForce GTX 1060,,,6%,62,Weak
The Red Lantern₹589,The Red Lantern,₹589,Timberline Studio,NarrationAdventureIndie,Single Player,Timberline Studio,10/22/20,WindowsWindows,Windows 7+ (64 bit),Intel Haswell 4 cores / 4 threads @ 3.2Ghz or equivalent,8 GB RAM,4gb,,,null,null,null
8Doors: Arum's Afterlife Adventure₹469,8Doors: Arum's Afterlife Adventure,₹469,Rootless Studio,ActionAdventure,Single Player,NEOWIZ,08/19/21,Initial Release06/17/20,Windows 10,Intel Core i5,8 GB RAM,8 GB available space,,,null,null,null
Ironcast₹349,Ironcast,₹349,Dreadbit Games,RPGStrategyIndie,Single PlayerController Support,Ripstone,07/08/21,Initial Release03/26/15,Windows 7,Intel Core i3 @ 3 Ghz,8 GB RAM,2 GB available space,,,70%,76,Strong
"Sonic Colors: Ultimate₹2,999",Sonic Colors: Ultimate,"₹2,999",Blind Squirrel Entertainment,ActionCasualer,Co-opSingle Player,SEGA,09/07/21,WindowsWindows,Windows 10,Intel Core i5-6600 or AMD Ryzen 5 1600X,8 GB RAM,Privacy Policy,,,49%,74,Fair
Arise: A Simple Story₹595,Arise: A Simple Story,₹595,Piccolo,Adventure,Co-opSingle Player,Piccolo,12/03/19,WindowsWindows,Windows 7 / 8.1 / 10 (64 bit),Intel Core i7 3770K 3.5 GHz or AMD equivalent,8 GB RAM,6 GB VRAM; NVIDIA GeForce GTX 1060 or AMD Radeon equivalent,,,83%,82,Strong
Pillars of Eternity - Definitive Edition₹849,Pillars of Eternity - Definitive Edition,₹849,Obsidian Entertainment,RPG,AchievementsSingle Player,Paradox Interactive,12/10/20,Initial Release03/26/15,Windows Vista 64-bit or newer,Intel Core i5-2400 @ 3.10 GHz / AMD Phenom II X6 1100T,8 GB RAM,Windows Vista 64-bit or newer,48 Achievements,1000 XP,97%,89,Mighty
"NEO: The World Ends with You₹2,999",NEO: The World Ends with You,"₹2,999","h.a.n.d., Inc.",ActionRPGAction-AdventureAdventure,Single Player,Square Enix,09/28/21,WindowsWindows,Windows® 10 64-bit,AMD A8-7600 / Intel® Core™ i3-3210,8 GB RAM,15GB,,,86%,82,Strong
Dark Future: Blood Red States₹589,Dark Future: Blood Red States,₹589,Auroch Digital Ltd,ActionStrategyIndie,Single Player,Auroch Digital Ltd,07/20/21,Initial Release04/19/19,Windows 10,Quad Core 3.5GHz Intel i5 / i7 Processor,8 GB RAM,10 GB available space,,,null,null,null
"Watch Dogs 2 Standard Edition₹3,499",Watch Dogs 2,"₹3,499",Ubisoft Montreal,ActionAdventure,Co-opSingle Player,Ubisoft Entertainment,11/15/16,WindowsWindows,"Windows 7 SP1, Windows 8.1, Windows 10 (64bit versions only)","Intel Core i5 3470 @ 3.2 GHz, AMD FX 8120 @ 3.9 GHz",8 GB RAM,"NVIDIA GeForce GTX 780 | AMD Radeon R9 290, with 3GB VRAM or better - See supported List*",,,82%,82,Strong
Conarium₹521,Conarium,₹521,Zoetrope Interactive,HorrorIndiePuzzle,Controller SupportSingle Player,Iceberg Interactive,06/06/17,WindowsWindows,Windows 7 64-bit and above,3.50GHz Intel Core i5-4690K or AMD FX-9370,8 GB RAM,NVIDIA GeForce GTX 960 or AMD Radeon R7 370,,,31%,70,Fair
Hades₹595,Hades,₹595,Supergiant Games,ActionRPG,AchievementsController SupportSingle Player,Supergiant Games,12/10/19,WindowsWindowsMac OSMac OS,Windows 7 SP1,Dual Core 3.4ghz,8 GB RAM,2GB VRAM,49 Achievements,1000 XP,null,null,null
A Knights Quest₹745,A Knights Quest,₹745,Sky 9 Games,ActionAdventureer,Single Player,Curve Digital,10/09/19,WindowsWindows,"Windows 7,8, 8.1, 10 x 64 (Requires a 64-bit processor and operating system)",Intel Core i5-6600K (4 * 3500) or equivalent / AMD Ryzen 3 2200G (4 * 3500) or equivalent Memory: 8 GB RAM,8 GB RAM,GeForce GTX 960 (4096 MB) or Radeon R9 285 (2048 MB),,,36%,63,Weak
The Jackbox Party Pack 8₹709,The Jackbox Party Pack 8,₹709,"Jackbox Games, Inc.",Party,Co-opMultiplayer,"Jackbox Games, Inc.",10/14/21,WindowsWindowsMac OSMac OS,Windows 8.1+,2.33 GHz Quad Core or Greater,8 GB RAM,3 GB available space,,,58%,73,Fair
Ruin Raiders₹469,Ruin Raiders,₹469,Overpowered Team,ActionStrategy,Single Player,Freedom Games,10/14/21,WindowsWindows,Windows 10 / 8 / 7,Intel Core i5-4690 / AMD FX-4300,8 GB RAM,4 GB Video RAM - NVIDIA GeForce GTX 970 / AMD Radeon R9 390,,,null,null,null
DCL The Game - Track EditorFree,DCL The Game - Track Editor,Free,Drone Champions,null,null,Drone Champions,02/24/21,WindowsWindows,64-bit Windows 7 / 8 / 10,Intel Core i7 4770k,8 GB RAM,30.0 GB,,,null,null,null
Frostpunk₹709,Frostpunk,₹709,11 bit studios,SurvivalCity BuilderStrategy,Single Player,11 bit studios,06/03/21,WindowsWindows,Windows 7/8/10 64-bit,3.2 GHz Dual Core Processor,8 GB RAM,8 GB available space,null,null,92%,86,Mighty
"Alien: Isolation₹3,325",Alien: Isolation,"₹3,325",Creative Assembly,Action,Single Player,SEGA,12/21/20,WindowsWindows,Windows 7 (64bit),"AMD: Phenom II X4 955 - 4 Core, 3.2 GHz or Intel: Core 2 Quad Q9650 - 4 Core, 3.0 GHz",8 GB RAM,35 GB available space,null,null,77%,81,Strong
The Legend of Tianding₹529,The Legend of Tianding,₹529,Creative Games & Computer Graphic Corp.,ActionRPGer,Single Player,Neon Doctrine,11/02/21,WindowsWindows,Windows 10 Version 18362.0 or higher,AMD Ryzen 3 | Intel i5 Skylake,8 GB RAM,2 GB available space,,,84%,82,Strong
Tales of the Neon Sea₹399,Tales of the Neon Sea,₹399,Palm Pioneer,PuzzleAdventure,Single PlayerController Support,Thermite Games,04/01/21,Initial Release11/14/18,Windows 10,Intel Core i5-2300,8 GB RAM,2 GB available space,,,null,null,null
Relicta₹670,Relicta,₹670,Mighty Polygon,PuzzleNarration,Single Player,Ravenscourt,08/24/20,WindowsWindows,Win 7 64bit / Win 8.1 64-bit / Windows 10,Core i7 / A8-3870K or above,8 GB RAM,NVIDIA GeForce GTX 970 / ATI Radeon R9 280 or above,,,47%,75,Strong
God's Trigger₹478,God's Trigger,₹478,One More Level,ActionIndie,null,Techland,08/20/20,WindowsWindows,Windows 10 (64 bit),"Intel Core i7 3,0 GHz or AMD equivalent",8 GB RAM,9 GB available space,,,83%,80,Strong
Super SquadFree,Super Squad,Free,Bad Fox Studios,Shooter,Multiplayer,Bad Fox Studios,06/25/21,WindowsWindows,Windows 7/8.1/10 64-Bit,3.2 GHz Quad Core,8 GB RAM,16 GB Available Space,null,null,null,null,null
"Chronos: Before the Ashes₹1,139",Chronos: Before the Ashes,"₹1,139",Gunfire Games,ActionRPGAction-AdventureAdventure,Single Player,THQ Nordic,12/01/20,WindowsWindows,Windows 7 / 8 / 10 64 bit,"AMD FX-8320 (3,5 GHz) / Intel i5-4690K (3,5 GHz) or better",8 GB RAM,8 GB,,,33%,68,Fair
Q.U.B.E. 2₹521,Q.U.B.E. 2,₹521,Toxic Games,PuzzleAdventureFirst Person,Single PlayerController Support,Ten Hut Games,03/18/18,WindowsWindows,Windows 7 64-bit,"Quad-core Intel or AMD processor, 2.5 GHz or faster",8 GB RAM,NVIDIA GeForce GTX 780 or AMD R9 290X series card or higher,,,68%,76,Strong
Song of Farca₹469,Song of Farca,₹469,Wooden Monkeys,AdventureIndieSimulation,Single Player,Alawar Premium,07/22/21,WindowsWindowsMac OSMac OS,Windows 10 or later,Intel Core i5 or higher,8 GB RAM,Nvidia GeForce GTX 650 or higher,,,null,null,null
They Always Run₹349,They Always Run,₹349,Alawar Premium,IndieerAction-Adventure,Controller SupportSingle Player,Alawar Premium,10/20/21,WindowsWindows,Microsoft® Windows 10,Intel Core i5 or higher,8 GB RAM,Nvidia GeForce GTX 650 or higher,,,null,null,null
The Long Dark₹829,The Long Dark,₹829,Hinterland Studio Inc.,SurvivalAdventure,Single Player,Hinterland Studio Inc.,12/19/20,WindowsWindowsMac OSMac OS,Win 10,Intel i7 CPU @ 2.6GHz or higher,8 GB RAM,8GB,,,70%,78,Strong
Dollhouse₹529,Dollhouse,₹529,Creazn Studio,HorrorFirst PersonSurvival,Single PlayerController Support,SOEDESCO,10/29/21,WindowsWindows,Windows 10 (both 32/64bit versions),Intel(R) Core(TM) - i5-4570 CPU @ 3.20GHz (4 CPUs),8 GB RAM,nVidia GeForce GTX1050(and above) or Radeon™ RX 600(and above),,,7%,51,Weak
Deep Sky Derelicts₹529,Deep Sky Derelicts,₹529,Snowhound Games,RPGStrategyCard Game,Controller SupportSingle Player,1C Entertainment,07/20/21,Initial Release11/15/17,"Windows 7 / 8 / 10, 64-bit only",Intel Core i5 or equivalent,8 GB RAM,4 GB,,,35%,71,Fair
Gravewood High₹469,Gravewood High,₹469,HeroCraft,HorrorStealth,Single Player,HeroCraft,10/20/21,WindowsWindows,"Windows 8.1, Windows 10 (64-bit versions)","2.5 GHz CPU, 4 cores",8 GB RAM,2 GB available space,null,null,null,null,null
Suzerain₹349,Suzerain,₹349,Torpor Games,IndieAdventure,Controller SupportSingle Player,Fellow Traveller,05/20/21,Initial Release12/04/20,Windows 8/10,"Intel i7 920 @ 2.7 GHz, AMD Phenom II 945 @ 3.0 GHz or equivalent",8 GB RAM,4 GB available space,,,73%,76,Strong
"Operation: Tango₹1,106",Operation:Tango,"₹1,106",Clever Plays Studio,ActionPuzzleIndie,Co-op,Clever Plays Studio,08/24/21,WindowsWindows,Windows 7,Quad Core CPU,8 GB RAM,10 GB available space,,,null,null,null
Doctor Who: The Lonely Assassins₹139,Doctor Who: The Lonely Assassins,₹139,Kaigan Games,PuzzleAdventureIndie,Single Player,Maze Theory,06/18/21,Initial Release03/19/21,Windows 10,"Intel Core i5, Ryzen 5 or equivalent",8 GB RAM,2 GB available space,,,85%,80,Strong
